timestamp,event,candle_start,asset,order_id,side,price,shares,cost,status,phase,physics_conf,physics_reason,btc_price,btc_change,minutes_elapsed,up_market,dn_market,outcome,pnl
2026-02-09T13:54:10.746758,POST,1770641100,sol,0xd29f97ddc7,DN,0.7500,6.7,5.00,live,directional,0.67,v=-0.106%/m Δ=-0.053%,69049.44,-0.0535,9.2,0.04,0.95,,0.00
2026-02-09T13:54:11.567673,INSTANT_FILL,1770641100,sol,0xf409255c35,UP,0.4000,3.8,1.50,filled,directional,0.67,,69049.44,-0.0535,9.2,0.04,0.95,,0.00
2026-02-09T13:56:52.760224,POST,1770641100,sol,0x016acac6fa,DN,0.7500,6.7,5.00,live,directional,0.67,v=-0.009%/m Δ=-0.070%,69038.00,-0.0700,11.9,0.00,0.99,,0.00
2026-02-09T13:58:53.706232,POST,1770641100,sol,0x4de3fdb275,DN,0.8930,5.6,5.00,live,expiry,0.89,EXPIRY v=-0.000% Δ=-0.071%,69037.01,-0.0715,13.9,0.01,0.99,,0.00
2026-02-09T13:59:24.596190,POST,1770641100,sol,0x6f74a91b1e,DN,0.8910,5.6,5.00,live,expiry,0.89,EXPIRY v=-0.000% Δ=-0.071%,69037.00,-0.0715,14.4,0.01,0.99,,0.00
2026-02-09T14:05:33.750496,POST,1770642000,sol,0xe0bd763e1d,DN,0.6700,7.5,5.00,live,directional,0.82,v=-0.268%/m Δ=-0.178%,68963.69,-0.1776,5.6,0.29,0.70,,0.00
2026-02-09T14:06:05.179400,POST,1770642000,sol,0xcddc94ca27,DN,0.4200,11.9,5.00,live,directional,0.82,v=-0.260%/m Δ=-0.178%,68963.69,-0.1776,6.1,0.54,0.45,,0.00
2026-02-09T14:06:37.102771,INSTANT_FILL,1770642000,sol,0xe8228b1e48,DN,0.3700,13.5,5.00,filled,directional,0.77,v=+0.000%/m Δ=-0.178%,68963.69,-0.1776,6.6,0.59,0.40,,0.00
2026-02-09T14:07:06.604849,POST,1770642000,sol,0xcd212bfbfc,DN,0.3700,13.5,5.00,live,directional,0.77,v=+0.000%/m Δ=-0.178%,68963.69,-0.1776,7.1,0.59,0.40,,0.00
2026-02-09T14:16:30.764408,CANDLE_END,1770642000,sol,-,-,0.0000,17.3,6.50,resolved,,0.00,,0.00,0.2971,0.0,0.00,0.00,UP,-2.75
2026-02-09T14:30:01.684968,CANDLE_END,1770642900,sol,-,-,0.0000,0.0,0.00,no_fills,,0.00,,0.00,0.0000,0.0,0.00,0.00,UP,0.00
2026-02-09T14:44:09.983164,POST,1770643800,sol,0x550c80e6be,DN,0.8990,5.6,5.00,live,expiry,0.86,EXPIRY v=-0.004% Δ=-0.021%,69269.20,-0.0206,14.1,0.00,1.00,,0.00
2026-02-09T14:44:11.333371,INSTANT_FILL,1770643800,sol,0xc0370d4816,UP,0.3500,7.1,2.50,filled,expiry,0.86,,69269.20,-0.0206,14.1,0.00,1.00,,0.00
2026-02-09T15:09:17.147776,POST,1770645600,sol,0x038e1c0336,DN,0.5200,9.6,5.00,live,directional,0.82,v=-0.735%/m Δ=-0.386%,68486.45,-0.3862,9.3,0.44,0.55,,0.00
2026-02-09T15:09:47.518569,POST,1770645600,sol,0x71ccc2ecda,DN,0.3500,14.3,5.00,live,directional,0.79,v=+0.028%/m Δ=-0.372%,68496.03,-0.3723,9.8,0.61,0.38,,0.00
2026-02-09T15:10:17.510729,POST,1770645600,sol,0x45ccfc559e,DN,0.2500,20.0,5.00,live,directional,0.77,v=-0.009%/m Δ=-0.377%,68492.81,-0.3770,10.3,0.71,0.28,,0.00
2026-02-09T15:10:47.912262,POST,1770645600,sol,0x3969d52a39,DN,0.3000,16.7,5.00,live,directional,0.82,v=+0.208%/m Δ=-0.271%,68565.34,-0.2715,10.8,0.66,0.33,,0.00
2026-02-09T15:11:18.014321,POST,1770645600,sol,0xe96395cc84,DN,0.4600,10.9,5.00,live,directional,0.77,v=+0.011%/m Δ=-0.266%,68568.98,-0.2662,11.3,0.49,0.49,,0.00
2026-02-09T15:11:48.027904,POST,1770645600,sol,0xcaaafaa299,DN,0.4800,10.4,5.00,live,directional,0.82,v=-0.144%/m Δ=-0.339%,68519.04,-0.3388,11.8,0.47,0.51,,0.00
2026-02-09T15:12:18.035556,POST,1770645600,sol,0x0ccaa772f9,DN,0.6200,8.1,5.00,live,directional,0.77,v=-0.010%/m Δ=-0.344%,68515.72,-0.3437,12.3,0.35,0.65,,0.00
2026-02-09T15:12:18.623546,INSTANT_FILL,1770645600,sol,0xaed76d2331,UP,0.4000,3.8,1.50,filled,directional,0.77,,68515.72,-0.3437,12.3,0.35,0.65,,0.00
2026-02-09T15:12:48.345981,POST,1770645600,sol,0xf5327fb328,DN,0.6200,8.1,5.00,live,directional,0.82,v=-0.084%/m Δ=-0.386%,68486.61,-0.3860,12.8,0.34,0.65,,0.00
